rpc,relation,object_type,deriver,identities,unauthenticated,source_proto_file
/gibson.harness.v1.HarnessCallbackService/SubmitFinding,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/ToolResults,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/TraverseGraph,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/ValidateFinding,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/ValidateGraphNode,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/ValidateRelationship,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/WaitForMission,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.identity.v1.IdentityService/WhoAmI,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,false,gibson/identity/v1/identity.proto
/gibson.platform.v1.PlatformOperatorService/EmitAuditEvent,platform_operator,system_tenant,system_tenant,USER|SERVICE,false,gibson/platform/v1/platform_operator.proto
/gibson.platform.v1.PlatformOperatorService/ImpersonateTenant,platform_operator,system_tenant,system_tenant,USER|SERVICE,false,gibson/platform/v1/platform_operator.proto
/gibson.platform.v1.PlatformOperatorService/ListFeatureTuples,platform_operator,system_tenant,system_tenant,USER|SERVICE,false,gibson/platform/v1/platform_operator.proto
/gibson.platform.v1.PlatformOperatorService/RefreshToolCatalog,platform_operator,system_tenant,system_tenant,USER|SERVICE,false,gibson/platform/v1/platform_operator.proto
/gibson.platform.v1.PlatformOperatorService/SeedCatalogTenantEnabled,platform_operator,system_tenant,system_tenant,USER|SERVICE,false,gibson/platform/v1/platform_operator.proto
/gibson.platform.v1.PlatformOperatorService/SetTenantQuota,platform_operator,system_tenant,system_tenant,USER|SERVICE,false,gibson/platform/v1/platform_operator.proto
/gibson.platform.v1.PlatformOperatorService/Shutdown,platform_operator,system_tenant,system_tenant,USER|SERVICE,false,gibson/platform/v1/platform_operator.proto
/gibson.platform.v1.PlatformOperatorService/UpsertTenantQuota,platform_operator,system_tenant,system_tenant,USER|SERVICE,false,gibson/platform/v1/platform_operator.proto
/gibson.platform.v1.PlatformOperatorService/WriteAccessTuples,platform_operator,system_tenant,system_tenant,USER|SERVICE,false,gibson/platform/v1/platform_operator.proto
/gibson.plugin.v1.PluginInvokeService/PluginInvoke,can_invoke,plugin,tenant_and_field('PluginName'),COMPONENT,false,gibson/plugin/v1/invoke.proto
/gibson.tenant.v1.TenantAdminService/CreateAgentIdentity,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/tenant/v1/tenant_admin.proto
/gibson.tenant.v1.TenantAdminService/CreateProvider,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/tenant/v1/tenant_admin.proto
/gibson.tenant.v1.TenantAdminService/DeleteProvider,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/tenant/v1/tenant_admin.proto
/gibson.tenant.v1.TenantAdminService/DeleteTenantLangfuseCredentials,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/tenant/v1/tenant_admin.proto
/gibson.tenant.v1.TenantAdminService/ExecuteLLM,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/tenant/v1/tenant_admin.proto
/gibson.tenant.v1.TenantAdminService/ExportFindings,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/tenant/v1/tenant_admin.proto
/gibson.tenant.v1.TenantAdminService/GetDefaultProvider,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/tenant/v1/tenant_admin.proto
/gibson.tenant.v1.TenantAdminService/GetFallbackChain,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/tenant/v1/tenant_admin.proto
/gibson.tenant.v1.TenantAdminService/GetOnboardingState,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/tenant/v1/tenant_admin.proto
